year,iso_week,disease_raw,disease_bucket,case_count,source_pdf,page
2024,31,KN/RCR/2024/31/1798 | Karnataka | Raichur | 52 | 0 | 30-07-2024 | 30-07-2024 | 31st 2024.pdf | 10,other,2024,31st 2024.pdf,10
2023,32,"KN/CHI/2023/32/922 | Karnataka | Chitradurga | Acute
Diarrheal
Disease | 21 | 00 | 12-08-23 | Under
Surveillance | Cases",lepto_cholera,2023,32nd 2023.pdf,6
2023,32,"KN/BAU/2023/32/944 | Karnataka | Bengaluru
Urban | Cholera | 10 | 00 | 02-08-23 | Under
Control | Cases were reported fr",lepto_cholera,33,32nd 2023.pdf,13
2023,32,District Bengaluru Urban. Cases presented with loose stools | 32nd 2023.pdf | 13,other,2023,32nd 2023.pdf,13
2024,32,"KN/KOL/2024/32/1895 | Karnataka | Kolar | Food
Poisoning | 19 | 0 | 09-08-2024 | 09-08-2024 | Under
Surveillance | Cases",other,2024,32nd 2024.pdf,13
2023,33,KN/BGV/2024/33/1998 | Karnataka | Belagavi | 99 | 1 | 12-08-2024 | 12-08-2024 | 33rd 2023.pdf | 11,other,2024,33rd 2023.pdf,11
2023,33,"District Anekal, District Bengaluru Urban. | 33rd 2023.pdf | 11",other,2023,33rd 2023.pdf,11
2023,33,Bengaluru | Under | 33rd 2023.pdf | 11,other,2023,33rd 2023.pdf,11
2023,33,"KN/BNG/2024/33/1999 | Karnataka | Zika Virus | 7 | 0 | 14-08-2024 | 17-08-2024 | pool samples were sent to NIV Pune, whi",other,2024,33rd 2023.pdf,11
2023,33,KN/RIC/2024/33/2000 | Karnataka | Raichur | Chikungunya | 23 | 0 | 12-08-2024 | 13-08-2024 | 33rd 2023.pdf | 12,dengue_malaria,2024,33rd 2023.pdf,12
2023,33,KN/VIJ/2024/33/2001 | Karnataka | Vijayapura | Cholera | 30 | 0 | 12-08-2024 | 13-08-2024 | 33rd 2023.pdf | 12,lepto_cholera,2024,33rd 2023.pdf,12
2024,33,KN/BGV/2024/33/1998 | Karnataka | Belagavi | 99 | 1 | 12-08-2024 | 12-08-2024 | 33rd 2024.pdf | 11,other,2024,33rd 2024.pdf,11
2024,33,"District Anekal, District Bengaluru Urban. | 33rd 2024.pdf | 11",other,2024,33rd 2024.pdf,11
2024,33,Bengaluru | Under | 33rd 2024.pdf | 11,other,2024,33rd 2024.pdf,11
2024,33,"KN/BNG/2024/33/1999 | Karnataka | Zika Virus | 7 | 0 | 14-08-2024 | 17-08-2024 | pool samples were sent to NIV Pune, whi",other,2024,33rd 2024.pdf,11
